title,sentiment
Bitcoin Market Has Run Out of Juice: Cryptocurrency Analyst,Negative
Bitcoin Core 0.14.0 Speeds Up Blockchain Syncing By 48%,Positive
Thinking of Travelling With Bitcoin? With These Websites You Can,Positive
Investors Carried Out Mental Gymnastics to Justify Bitcoin Prices  Bloomberg Editor-in-Chief,Negative
"Bitcoin Price Holds Above $8,500 as Market Fights to Cement Recovery",Positive
Bitcoin Startup Cleared of Breaching Securities Law,Positive
Smart Contracts for Bitcoin? Lightnings Tadge Dryja Is Working on It,Positive
Payment Processor Invests in Dubai-Based Bitcoin Startup,Positive
Shitshow to Success? Bitcoin Golds Launch Has Been Anything But Smooth,Negative
Bitcoin Price Faces Bear Indicator Not Seen Since 2014,Negative
Coinbase CEO Rejects Proposal for Bitcoin Hard Fork in 2017,Negative
Bitcoin's Price is Up Over $50 Already Today,Positive
Destinia: Bitcoin-Paying Customers Spend More on Travel,Positive
Bitcoin Cash Price Technical Analysis  BCH/USD Trading Positively,Positive
Chinese Bitcoin Exchange Executives Banned from Leaving the Country: Report,Negative
"BlackRock Wont Launch Bitcoin ETF Until Crypto Is Legitimate, Says CEO Larry Fink",Negative
Bitcoin (BTC) Price Watch: Still Fighting to Stay Afloat,Negative
Cloud-Mining Service Hashflare Terminates Bitcoin Mining Contracts,Negative
"Bitcoin Price Watch: BTC Hesitates, But Recovery Seems Likely",Positive
Bitcoins Cutting-Edge Coin Selection Tech Gets First Major Integration,Positive
"2,900 Two-Way Bitcoin ATMs Set to Launch in Australia",Positive
Bitcoin Cash Price Weekly Analysis: BCH/USD Could Extend Gains Above $500,Positive
Lightning: The Bitcoin Scaling Tech You Really Should Know,Positive
Analysts Believe 2018 Could be the Best Year for Bitcoin,Positive
Industry Petition Urges Indian Govt to Announce Bitcoin is Legal,Positive
"21e800: Bitcoin, Satoshi and the Mystery Twitter Is Obsessing Over",Neutral
"Whale Moves 48,000 Bitcoin for 4 Cents in Fees As Scaling Solutions Develop",Neutral
Prominent Hedge Fund Mgr Expects BTC Price to Achieve $1M in 10 Years,Positive
"Bitcoin Cash Price Analysis: BCH/USD Consolidating Below $1,500",Negative
Bitcoin Price Analysis 01/23/2017  Slow and Steady Climb,Positive
"Bitcoin Community Praises Geminis Customer Support, Sets Precedent For Market",Positive
There's A Giant Bitcoin Rat on Wall Street And It's Staring Down the Fed,Negative
Bitcoin Channels its Inner Energizer Bunny in Rampant Run,Positive
DOJs Bitcoin Price Manipulation Probe a Good Thing: Mike Novogratz,Positive
"Investment Analyst Pegs Bitcoin Price to Hit $3,678 If SEC Approves ETF",Positive
"BTC/USD and BTC/JPY Technical Analysis Aug 3, 2017",Neutral
ETH/USD and ETH/BTC Technical Analysis October 4 2017,Neutral
Bitcoin Price Watch: BTC/USD Remains Range Bound,Neutral
Arizona May Become First State to Accept Bitcoin for Tax Bill,Positive
Bitcoin Price Analysis 03/21/2017  Still in Correction Mode!,Negative
"Abra Adds Native Bitcoin Cash Support, Wins Roger Vers Praise",Positive
"Bitcoin Price Weekly Analysis BTC/USD Upside Drift Above $20,000",Positive
"Crypto Market Makes Minor Retreat Post-Rally, Ether and Bitcoin Cash Down 5%",Negative
51% Attack? Bitcoin Wins Ron Paul Investor Poll [Again],Positive
Report: Less Than 1% of Bitcoin Used for Illegal Purposes,Positive
BitFury Launches Blockchain Investigation Tool to Fight Bitcoin Crime,Positive
Billionaire Bitcoin Evangelist Shelves Three Californias Plan after Legal Setback,Neutral
"Bitcoin Set to Surge, Cryptocurrency Hedge Fund Disagrees With Barclays",Positive
Bitcoin Ponzi Scheme Operator Sentenced to 18 Months in Prison,Negative
How a Bitcoin Exchange Is Surviving the Central Bank Crackdown in India,Positive
